token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
bamboo and wax	bamboo and wax	3	""	Decorative & other materials	Wood	Wood	""	keyword
Lithograph on gray Rives BFK paper	lithograph on gray rives bfk paper	3	""	Print	Lithographs (planographic)	Lithograph	""	keyword
Marble and gilt bronze	marble and gilt bronze	3	""	Sculpture	Bronze	Bronze	""	keyword
woodcut in color	woodcut in color	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
stipple engraving (hand-colored)	stipple engraving (hand-colored)	3	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
etching from a steel plate	etching from a steel plate	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
not known	not known	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Aquatint printed on Rives BFK paper	aquatint printed on rives bfk paper	3	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
and paillettes	and paillettes	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
screen printing	screen printing	3	technique	Print	Other print process	Screen printing	300053281	keyword
etching (counterproof)	etching (counterproof)	3	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Aquatint with hand coloring by the artist	aquatint with hand coloring by the artist	3	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
seed pods	seed pods	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
ivory and paint	ivory and paint	3	""	Painting	Other paint	Other paint	""	keyword
opaque watercolor on cardboard	opaque watercolor on cardboard	3	""	Painting	Gouache / opaque watercolor	Gouache / opaque watercolor	""	keyword
resist dyeing ( tie-dye)	resist dyeing ( tie-dye)	3	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
porcelain with incised overglaze enamel	porcelain with incised overglaze enamel	3	""	Ceramic & glass	Porcelain	Porcelain (unspecified)	""	keyword
Stipple engraving printed in red ink	stipple engraving printed in red ink	3	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
strip-weaving	strip-weaving	3	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
block printing	block printing	3	technique	Print	Other print process	Block printing	300053289	keyword
Color woodblock print with embossing (triptych)	color woodblock print with embossing (triptych)	3	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Oil on paper mounted on paperboard	oil on paper mounted on paperboard	3	""	Painting	Oil	Oil (other support)	""	keyword
