token	token_lc	object_count	facet	section	subcategory	specific	aat_id	source
blue ink on paper	blue ink on paper	53	""	Drawing	Ink	Ink (unspecified)	""	keyword
straw	straw	53	material	Decorative & other materials	Beads, feathers & plant material	Straw	300011908	keyword
warp-faced plain weave	warp-faced plain weave	53	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
mounted albumen silver print	mounted albumen silver print	53	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
heliogravure	heliogravure	53	""	Print	Other print process	Other print process	""	keyword
color metal relief print	color metal relief print	52	""	Print	Relief prints (woodcut, linocut)	Relief etching	""	keyword
wood-engraving	wood-engraving	52	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
jadeite	jadeite	52	material	Other / unclassified	Other / unclassified	Jadeite	300011121	other
color woodcut reproduction	color woodcut reproduction	52	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
printed cotton	printed cotton	51	""	Textile	Natural fiber (silk, wool, cotton)	Cotton	""	keyword
four color	four color	51	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Crayon lithograph on Japan paper	crayon lithograph on japan paper	51	""	Print	Lithographs (planographic)	Lithograph	""	keyword
incised	incised	51	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
color engraving printed from lead plate	color engraving printed from lead plate	51	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
black chalk	black chalk	51	material	Drawing	Pencil, chalk & crayon	Chalk	300080058	keyword
walrus tusk	walrus tusk	50	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
two color woodcuts	two color woodcuts	50	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
hand-colored albumen silver print	hand-colored albumen silver print	50	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
hand-colored albumen print	hand-colored albumen print	50	""	Photograph	Albumen print	Albumen print	""	keyword
photomechanical reproduction	photomechanical reproduction	50	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
and beads	and beads	50	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
stipple  engraving with hand coloring	stipple  engraving with hand coloring	50	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
kid leather	kid leather	50	""	Decorative & other materials	Animal material (ivory, bone, leather)	Leather / hide	""	keyword
ostrich feathers	ostrich feathers	50	""	Decorative & other materials	Beads, feathers & plant material	Beads, feathers & plant material	""	keyword
carved	carved	50	""	Sculpture	Other sculpture material	Other sculpture material	""	keyword
working proof on Arches laid paper	working proof on arches laid paper	50	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
on Mountie Matte paper	on mountie matte paper	50	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Stenciled transparent and opaque watercolor	stenciled transparent and opaque watercolor	50	""	Print	Screenprints & stencils	Stencil	""	keyword
earthenware with polychrome	earthenware with polychrome	49	""	Ceramic & glass	Earthenware & stoneware	Earthenware	""	keyword
Silk brocade	silk brocade	49	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
burnished aquatint	burnished aquatint	49	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
quartzite	quartzite	49	material	Other / unclassified	Other / unclassified	Quartzite	300011623	other
Line and stipple engraving with hand coloring	line and stipple engraving with hand coloring	48	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
weft-faced plain weave	weft-faced plain weave	48	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
book with lithographs	book with lithographs	48	""	Print	Lithographs (planographic)	Lithograph	""	keyword
book with wood engravings	book with wood engravings	48	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
Inkjet print	inkjet print	48	""	Photograph	Digital / inkjet print	Inkjet / pigment print	""	keyword
metal thread	metal thread	48	material	Textile	Thread & trimmings	Metal thread	300379384	keyword
book	book	47	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
rattan	rattan	47	material	Decorative & other materials	Beads, feathers & plant material	Rattan	300011865	keyword
Color soft ground etching	color soft ground etching	47	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
or clay?	or clay?	47	""	Ceramic & glass	Other ceramic	Other ceramic	""	keyword
Silk ribbon	silk ribbon	47	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
and wash	and wash	47	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
relief halftone	relief halftone	47	technique	Photograph	Other photographic	Relief halftone	300155640	aat
Point de gaze lace	point de gaze lace	47	""	Textile	Woven & worked cloth	Woven & worked cloth	""	keyword
ink and color wash on paper	ink and color wash on paper	46	""	Drawing	Ink	Ink (unspecified)	""	keyword
printed chine collé	printed chine collé	46	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
two books bounded together.	two books bounded together.	45	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
pewter	pewter	45	material	Decorative & other materials	Base metal (bronze, iron, copper)	Pewter / tin	300010979	keyword
cast brass	cast brass	45	""	Sculpture	Cast / modelled	Cast / modelled	""	keyword
redware	redware	44	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
sumi ink on paper	sumi ink on paper	44	""	Drawing	Ink	Black ink	""	keyword
woodcut on Goyu paper	woodcut on goyu paper	44	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
Wood Engraving.	wood engraving.	44	""	Print	Relief prints (woodcut, linocut)	Wood engraving	""	keyword
Color screenprint on paper	color screenprint on paper	44	""	Print	Screenprints & stencils	Screenprint	""	keyword
wire	wire	44	material	Decorative & other materials	Other material	Wire	300011063	aat
Photogravure on BFK Rives hand-made paper	photogravure on bfk rives hand-made paper	44	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
steel	steel	44	material	Decorative & other materials	Base metal (bronze, iron, copper)	Steel	300133751	keyword
blown glass	blown glass	44	material	Ceramic & glass	Glass	Blown glass	300010832	keyword
Color woodcuts	color woodcuts	43	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
color  aquatint	color  aquatint	43	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
Drypoint (Japan paper)	drypoint (japan paper)	43	""	Print	Etching & engraving (intaglio)	Drypoint	""	keyword
archival pigment print	archival pigment print	43	""	Print	Other print process	Other print process	""	keyword
Woodcut on cream wove Montval paper	woodcut on cream wove montval paper	43	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
silk chiffon	silk chiffon	43	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
etching printed in brown ink	etching printed in brown ink	43	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
cowrie shells	cowrie shells	43	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
Mahogany	mahogany	42	material	Decorative & other materials	Wood	Mahogany	300012221	aat
digital print	digital print	42	""	Photograph	Digital / inkjet print	Digital (unspecified)	""	keyword
aquatint with etching (hand-colored)	aquatint with etching (hand-colored)	42	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
ribbon	ribbon	42	material	Textile	Thread & trimmings	Ribbon	300014668	keyword
pencil on tracing paper	pencil on tracing paper	42	""	Drawing	Pencil, chalk & crayon	Graphite / pencil	""	keyword
banana fiber	banana fiber	42	""	Textile	Other textile	Other textile	""	keyword
offset lithograph of original drawing	offset lithograph of original drawing	41	""	Print	Lithographs (planographic)	Offset lithograph	""	keyword
color aquatint and etching	color aquatint and etching	41	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
and burin	and burin	41	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
and burnisher	and burnisher	41	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
silk taffeta	silk taffeta	41	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
tempera	tempera	40	material	Painting	Tempera	Tempera	300015062	keyword
photomechanically reproduced image of  a drawing	photomechanically reproduced image of  a drawing	40	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
mezzotint and etching	mezzotint and etching	40	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Etching and aquatint on Van Gelder Zonen paper	etching and aquatint on van gelder zonen paper	40	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
color linocut	color linocut	40	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
torn edges	torn edges	40	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
etching and aquatint printed chine collé on Zirkall Litho paper	etching and aquatint printed chine collé on zirkall litho paper	40	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
Wood and paint	wood and paint	40	""	Painting	Other paint	Other paint	""	keyword
soap ground aquatint	soap ground aquatint	39	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
glass seed beads	glass seed beads	39	""	Ceramic & glass	Glass	Glass (unspecified)	""	keyword
silk gros de Tours	silk gros de tours	39	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
Book with 88 engravings	book with 88 engravings	39	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
spitbite aquatint	spitbite aquatint	39	""	Print	Etching & engraving (intaglio)	Aquatint	""	keyword
chiaroscuro woodcut	chiaroscuro woodcut	39	technique	Print	Relief prints (woodcut, linocut)	Woodcut	300456840	keyword
toned gelatin silver print	toned gelatin silver print	39	""	Photograph	Gelatin silver print	Gelatin silver print	""	keyword
Copper alloy	copper alloy	39	material	Decorative & other materials	Base metal (bronze, iron, copper)	Copper	300010942	keyword
woodcut with stencil color	woodcut with stencil color	39	""	Print	Relief prints (woodcut, linocut)	Woodcut	""	keyword
complex weave	complex weave	39	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
silk tassel	silk tassel	39	""	Textile	Natural fiber (silk, wool, cotton)	Silk	""	keyword
resin	resin	38	material	Other / unclassified	Other / unclassified	Resin	300012882	other
wove paper	wove paper	38	material	Textile	Other textile	Wove paper	300014187	aat
Etching-engraving	etching-engraving	38	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Barkcloth	barkcloth	38	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
red	red	38	""	Other / unclassified	Other / unclassified	Other / unclassified	""	other
linocut on Rives paper	linocut on rives paper	38	""	Print	Relief prints (woodcut, linocut)	Linocut	""	keyword
Engraving on folded sheet	engraving on folded sheet	38	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
oil	oil	37	material	Painting	Oil	Oil (other support)	300014254	keyword
Color stipple engraving	color stipple engraving	37	""	Print	Etching & engraving (intaglio)	Engraving	""	keyword
string	string	37	material	Textile	Other textile	String	300014249	aat
knotted pile (asymmetrical knot	knotted pile (asymmetrical knot	37	""	Textile	Textile technique (weaving, embroidery)	Knotted pile	""	keyword
Color lithograph on white Arches paper	color lithograph on white arches paper	37	""	Print	Lithographs (planographic)	Lithograph	""	keyword
photomechanical process reproduction of photograph	photomechanical process reproduction of photograph	37	""	Photograph	Photogravure / photomechanical	Photogravure / photomechanical	""	keyword
plain weave with supplementary-weft patterning	plain weave with supplementary-weft patterning	37	""	Textile	Textile technique (weaving, embroidery)	Weaving	""	keyword
Photolithograph reproduction after a pen drawing on wove Lafuma paper	photolithograph reproduction after a pen drawing on wove lafuma paper	37	""	Print	Lithographs (planographic)	Lithograph	""	keyword
slit-tapestry weave	slit-tapestry weave	37	""	Textile	Textile technique (weaving, embroidery)	Tapestry	""	keyword
color ink drawing on pith paper	color ink drawing on pith paper	36	""	Drawing	Ink	Colored ink	""	keyword
metallic threads	metallic threads	36	""	Textile	Thread & trimmings	Thread & trimmings	""	keyword
color C print	color c print	36	""	Photograph	Chromogenic / C print	Chromogenic / C print	""	keyword
etching printed on thin paper mounted on sheet with prepared plate mark	etching printed on thin paper mounted on sheet with prepared plate mark	36	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
etching with aquatint and hand coloring	etching with aquatint and hand coloring	36	""	Print	Etching & engraving (intaglio)	Mixed / other intaglio	""	keyword
book of 35 photoetchings on Arches paper	book of 35 photoetchings on arches paper	36	""	Print	Etching & engraving (intaglio)	Etching	""	keyword
Free-blown glass	free-blown glass	36	material	Ceramic & glass	Glass	Blown glass	300233425	keyword
